Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Darlow,9,CHE (H) 0 - 2,1,90,0,0,0,2,0,0,0,0,0,2,0,12,17.6,0.0,0.0,1.8,-4510,132236,£5.0
Meslier,9,ARS (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,23,20.2,0.0,0.0,2.0,-10090,300945,£4.5
Allison,9,LEI (H) 3 - 0,8,90,0,0,1,0,0,0,0,0,0,4,1,30,33.2,0.0,0.0,3.3,-7955,540815,£5.9
Johnstone,9,MUN (A) 1 - 0,4,90,0,0,0,1,0,0,0,0,0,6,0,20,43.4,0.0,0.0,4.3,145,74924,£4.5
Mendy,9,NEW (A) 0 - 2,6,90,0,0,1,0,0,0,0,0,0,1,0,26,13.8,0.0,0.0,1.4,30636,498511,£5.1
Ederson,9,TOT (A) 2 - 0,1,90,0,0,0,2,0,0,0,0,0,0,0,7,1.6,0.0,0.0,0.2,-11509,421178,£6.0
Guaita,9,BUR (A) 1 - 0,3,90,0,0,0,1,0,0,0,0,0,3,0,18,29.4,0.0,0.0,2.9,-8182,296717,£5.0
Areola,9,EVE (H) 2 - 3,2,90,0,0,0,3,0,0,0,0,0,4,0,18,30.2,0.0,0.0,3.0,-196,101083,£4.5
Ramsdale,9,WHU (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,2,0,12,18.2,0.0,0.0,1.8,-16255,216545,£4.8
de Gea,2,CRY (H) 1 - 3,1,90,0,0,0,3,0,0,0,0,0,2,0,12,16.6,0.0,0.0,1.7,8554,296170,£5.5
de Gea,3,BHA (A) 2 - 3,2,90,0,0,0,2,0,0,0,0,0,3,0,13,25.8,0.0,0.0,2.6,-17027,297884,£5.5
de Gea,4,TOT (H) 1 - 6,-1,90,0,0,0,6,0,0,0,0,0,2,0,11,19.8,0.0,0.0,2.0,-23850,282198,£5.5
de Gea,5,NEW (A) 1 - 4,3,90,0,0,0,1,0,0,0,0,0,4,0,15,26.6,0.0,0.0,2.7,-18230,275436,£5.5
de Gea,6,CHE (H) 0 - 0,6,90,0,0,1,0,0,0,0,0,0,1,0,22,9.4,0.0,0.0,0.9,-7559,274878,£5.5
de Gea,7,ARS (H) 0 - 1,2,90,0,0,0,1,0,0,0,0,0,1,0,9,5.8,0.0,0.0,0.6,-1008,281089,£5.4
de Gea,8,EVE (A) 1 - 3,2,90,0,0,0,1,0,0,0,0,0,0,0,7,1.8,0.0,0.0,0.2,-6041,277812,£5.4
de Gea,9,WBA (H) 1 - 0,6,90,0,0,1,0,0,0,0,0,0,2,0,22,20.2,0.0,0.0,2.0,7985,302780,£5.4
Ryan,1,CHE (H) 1 - 3,1,90,0,0,0,3,0,0,0,0,0,2,0,12,11.6,0.0,0.0,1.2,0,1121565,£4.5
