Name,Gameweek,Opposition,Pts,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Net Transfers,Selected by,Cost
Neto,4,FUL (H) 1 - 0,8,81,1,0,1,0,0,0,0,0,0,0,0,25,40.4,35.3,36,11.2,"29,540","78,653",£5.5
Hourihane,2,SHU (H) 1 - 0,3,61,0,0,1,0,0,0,0,0,0,0,0,13,6.8,37.6,3,4.7,-438,"5,016",£6.0
Hourihane,3,FUL (A) 0 - 3,14,76,1,1,1,0,0,0,0,0,0,0,3,44,55.4,40.1,20,11.6,-196,"5,325",£6.0
Hourihane,4,LIV (H) 7 - 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"13,990","23,110",£6.0
DeBruyne,2,WOL (A) 1 - 3,13,90,1,1,0,1,0,0,0,0,0,0,3,42,85.2,71.6,64,22.1,"344,561","2,063,222",£11.5
DeBruyne,3,LEI (H) 2 - 5,2,90,0,0,0,5,0,0,0,0,0,0,0,13,10.4,42.5,10,6.3,732522,"2,937,597",£11.6
DeBruyne,4,LEE (A) 1 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,11,19.2,71.3,53,14.4,"162,180","3,145,452",£11.7
Aubameyang,1,FUL (A) 0 - 3,7,90,1,0,1,0,0,0,0,1,0,0,0,19,36.6,15.3,54,10.6,0,"2,823,465",£12.0
Aubameyang,2,WHU (H) 2 - 1,5,90,0,1,0,1,0,0,0,0,0,0,0,20,28,36.4,15,7.9,"-76,570","3,002,806",£12.0
Aubameyang,3,LIV (A) 3 - 1,2,90,0,0,0,3,0,0,0,0,0,0,0,5,4.2,0.9,4,0.9,"-967,555","2,046,859",£11.9
Aubameyang,4,SHU (H) 2 - 1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,9.4,4.6,30,4.4,"-120,167","2,000,213",£11.9
Mount,1,BHA (A) 1 - 3,2,90,0,0,0,1,0,0,0,0,0,0,0,9,13.6,28.6,9,5.1,0,"518,922",£7.0
Mount,2,LIV (H) 0 - 2,2,90,0,0,0,2,0,0,0,0,0,0,0,10,9.6,5.6,1,1.6,"-87,707","456,584",£7.0
Mount,3,WBA (A) 3 - 3,12,90,1,1,0,3,0,0,0,0,0,0,2,48,50.8,52.1,81,18.4,"-65,777","406,197",£6.9
Mount,4,CRY (H) 4 - 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"119,900","561,764",£6.9
Kouyate,1,SOU (H) 1 - 0,3,90,0,0,1,0,0,0,0,0,0,0,0,3,12.6,0.3,17,3,0,"14,565",£5.0
Kouyate,2,MUN (A) 1 - 3,2,90,0,0,0,1,0,0,0,0,0,0,0,14,24.6,10,2,3.7,-784,"17,116",£5.0
Kouyate,3,EVE (H) 1 - 2,9,90,1,0,0,2,0,0,0,0,0,0,2,29,46.4,0.2,42,8.9,-915,"17,336",£5.0
Kouyate,4,CHE (A) 4 - 0,2,90,0,0,0,4,0,0,0,0,0,0,0,9,14.8,0.2,4,1.9,"27,932","51,908",£5.0
Praet,1,WBA (A) 0 - 3,6,74,0,1,1,0,0,0,0,0,0,0,0,25,27.8,16.8,33,7.8,0,"4,535",£5.5
Praet,2,BUR (H) 4 - 2,8,82,1,0,0,2,0,0,0,0,0,0,1,29,44,29.1,35,10.8,"8,800","21,300",£5.5
Praet,3,MCI (A) 2 - 5,2,68,0,0,0,1,0,0,0,0,0,0,0,5,8,11.8,0,2,"25,188","51,928",£5.5
Praet,4,WHU (H) 0 - 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1779,"49,736",£5.5
Harrison,1,LIV (A) 4 - 3,7,90,1,0,0,4,0,0,0,0,0,0,0,23,43.6,6.5,19,6.9,0,"30,491",£5.5
